Protein1 Protein2 tmscore tmscore-CP
1rhgA 1rcdA 0.52178 0.68334
1rhgA 2cluA 0.51855 0.68028
1rhgA 2ffxJ 0.52182 0.68153
1rhgA 1nf4A 0.56338 0.73222
1rhgA 2chiA 0.51618 0.67757
1rhgA 1mojA 0.57542 0.74900
1rhgA 1r03A 0.52013 0.68512
1rhgA 1aewA 0.51952 0.68121
1rhgA 1rccA 0.52352 0.68375
1rhgA 2iy4A 0.54836 0.71948
1rhgA 1mfrA 0.51824 0.68351
1rhgA 1n1qA 0.52913 0.70737
1rhgA 1jigA 0.49141 0.71406
1rhgA 1umnA 0.54430 0.70518
1rhgA 1o9rA 0.57312 0.74292
1rhgA 2bk6A 0.53582 0.71331
1rhgA 2bkcA 0.54074 0.71620
1rhgA 1uvhA 0.57025 0.73871
1rhgA 1bcfA 0.57051 0.73887
1rhgA 1rciA 0.52232 0.68921
1rhgA 2ib0A 0.55589 0.72236
1rhgA 2cf7A 0.54731 0.69653
1s3qA 1f6fA 0.43174 0.55614
1s3qA 1aluA 0.45709 0.55966
1sofA 1bgcA 0.56342 0.65877
1sofA 1cnt1 0.55343 0.68285
1sofA 1axiA 0.46566 0.59141
1sofA 1f6fA 0.54074 0.66569
1umnA 1cnt1 0.56423 0.68597
1uvhA 1bgcA 0.57962 0.72650
1v74B 1zv4X 0.46615 0.49273
1vlgA 1pvhB 0.47935 0.57353
1vlsA 1le4A 0.56926 0.65390
1vlsA 1gs9A 0.56809 0.65941
1vlsA 1lpeA 0.55856 0.65369
1vlsA 1ea8A 0.53680 0.64786
1vlsA 1h7iA 0.55224 0.64717
1wozA 1gwgA 0.57320 0.57320
1wu3I 2inpC 0.63133 0.80169
1wu3I 2a6bA 0.54236 0.65446
1wu3I 2itbA 0.56216 0.68952
1wu3I 2iyhA 0.63055 0.75911
1wu3I 1z4aA 0.47117 0.59161
1wvtA 1rhgA 0.44640 0.59330
1yjgA 1bcfA 0.52451 0.52451
1yjgA 1x91A 0.51037 0.59464
1yjgA 1yo7A 0.42959 0.55859
1z4aA 1rhgA 0.46441 0.43607
1z4aA 1f6fA 0.48920 0.59181
1z4aA 1axiA 0.43017 0.55093
1z6oM 1a22A 0.38511 0.47431
1z6oM 1lkiA 0.43609 0.50951
1z6oM 1bgcA 0.43146 0.55315
1z6oM 1pvhB 0.43859 0.52419
1z6oM 1cd9A 0.42613 0.56767
1z7cA 2fg4A 0.45122 0.57021
1z7cA 2cn7A 0.44894 0.57071
1z7cA 2chiA 0.44730 0.56632
1z7cA 1krqA 0.44913 0.56052
1z7cA 2cluA 0.44845 0.56854
1z7cA 1f30A 0.46719 0.58646
1z7cA 2fkzA 0.46490 0.59307
1z7cA 2gs4A 0.45174 0.58394
1z7cA 1gwgA 0.42844 0.56559
1z7cA 2d5kA 0.45547 0.55861
1zujA 1rhgA 0.48914 0.60515
1zwiC 1cxzB 0.47199 0.51210
1zzpA 1p68A 0.47875 0.63391
2asrA 1b68A 0.59736 0.66062
2asrA 1bz4A 0.60093 0.66151
2atkC 1cxzB 0.46540 0.51353
2b0hA 2ib0A 0.52028 0.52040
2bjyA 1cnt1 0.58064 0.69970
2bk6A 1yo7A 0.50557 0.50557
2bk6A 1cnt1 0.57848 0.69708
2bkcA 1cnt1 0.58257 0.70030
2c2fA 1pvhB 0.49883 0.61619
2c2fA 1bgcA 0.50618 0.64764
2c41A 1bgcA 0.57331 0.73255
2c41A 1rhgA 0.53458 0.69936
2cf7A 1cd9A 0.56277 0.70778
2chiA 1axiA 0.41187 0.55229
2chiA 1f6fA 0.48727 0.59137
2clbA 1cd9A 0.55043 0.66147
2clbA 1b71A 0.69150 0.69150
2clbA 1i1rB 0.46292 0.60774
2clbA 1lkiA 0.50947 0.63061
2clbA 1cnt1 0.47355 0.62018
2clbA 1rhgA 0.49694 0.60103
2cluA 1pvhB 0.47236 0.57411
2cluA 1f6fA 0.48955 0.59128
2cn7A 1pvhB 0.47164 0.57493
2cn7A 1axiA 0.44025 0.55293
2cn7A 1aluA 0.44499 0.55127
2erjD 1a7mA 0.64936 0.64936
2erjD 1ax8A 0.58023 0.58023
2ffxJ 1bgcA 0.46127 0.58658
2ffxJ 1lkiA 0.46796 0.56324
2ffxJ 2ah6A 0.50269 0.54117
2ffxJ 1f6fA 0.49361 0.59052
2fg4A 1wozA 0.52725 0.52725
2fkzA 1f6fA 0.54162 0.66640
2fzfA 1cnt1 0.49340 0.66222
2fzfA 1f6fA 0.60822 0.75462
2fzfA 1x91A 0.52182 0.52182
2g2dA 2gydA 0.55924 0.57419
2g2dA 1z4aA 0.56869 0.56869
2g2dA 2fg4A 0.55691 0.58807
2g2dA 2cn7A 0.56776 0.56776
2g2dA 2chiA 0.56734 0.56734
2g2dA 2cluA 0.56868 0.56868
2g2dA 1fhaA 0.56042 0.58475
2gscA 1orjA 0.52067 0.65921
2gydA 1lkiA 0.47806 0.57554
2gydA 1pvhB 0.48143 0.58021
2gydA 1bgcA 0.47004 0.60073
2gydA 1f6fA 0.50293 0.53874
2gyqA 1cnt1 0.48346 0.63440
2iy4A 1bgcA 0.58720 0.74601
2nt8A 1rhgA 0.38077 0.51021
3csmA 2ao2A 0.39933 0.52552
3csmA 2f6lA 0.38826 0.51712
3hhrA 2fzfA 0.49437 0.61965
3hhrA 1z4aA 0.41016 0.50741
3hhrA 2gydA 0.41060 0.51901
3hhrA 1aewA 0.41177 0.52076
3hhrA 1rcdA 0.41105 0.52310
3hhrA 2ffxJ 0.40196 0.52115
3hhrA 1eumA 0.41528 0.52291
3hhrA 2cluA 0.40860 0.52212
3hhrA 1gwgA 0.41154 0.51955
3hhrA 1s3qA 0.38440 0.48863
3hhrA 1z6oM 0.39433 0.51039
3hhrA 2fg4A 0.39490 0.52045
3hhrA 1ji5A 0.41564 0.50523
3hhrA 1h96A 0.41044 0.51691
3hhrA 2cn7A 0.40842 0.52109
3hhrA 1vlgA 0.41207 0.51151
3hhrA 1krqA 0.41463 0.49698
3hhrA 2chiA 0.39963 0.51619
3hhrA 1r03A 0.40675 0.52670
3hhrA 1b71A 0.43539 0.55714
3hhrA 1bcfA 0.42631 0.53552
3hhrA 2ib0A 0.42937 0.54662
3hhrA 1mfrA 0.41167 0.52060
3hhrA 2cf7A 0.41322 0.51228
3hhrA 1mojA 0.42378 0.55439
5csmA 2ao2A 0.39858 0.52753
5csmA 2f6lA 0.38628 0.51702
1a29A 1k9uA 0.38914 0.39703
1bocA 1m39A 0.49743 0.51824
1c7vA 1pvaA 0.69905 0.68897
1cb1A 2bl0B 0.60307 0.59512
1cdmA 1sraA 0.50189 0.50189
1d1oA 2bl0B 0.64884 0.64884
1d1oA 1y6wA 0.66766 0.66766
1d1oA 1a29A 0.57038 0.57038
1f71A 1wy9A 0.41440 0.42599
1g33A 1c07A 0.58284 0.58284
1g33A 1f8hA 0.53783 0.61038
1ig5A 1cdlA 0.51893 0.52626
1ig5A 1f70A 0.66589 0.66589
1ig5A 1ggwA 0.61125 0.61304
1ig5A 1b7tY 0.53229 0.53508
1ig5A 1oe9B 0.64513 0.64513
1irjA 2fcdA 0.52712 0.53643
1jf0A 1prwA 0.45598 0.52366
1kcyA 1palA 0.43732 0.48713
1kcyA 1pvaA 0.43924 0.49103
1kqvA 1m39A 0.44874 0.56277
1kqvA 1rjvA 0.55249 0.57446
1nyaA 1prwA 0.41997 0.58432
1oofA 1iq5A 0.39818 0.40723
1pmzA 1rtp1 0.40454 0.40454
1prwA 2sasA 0.55797 0.68087
1puoA 1zkrA 0.83421 0.95979
1qv0A 1dtlA 0.53604 0.58661
1qx2A 2a4jA 0.56893 0.56893
1qx2A 1m39A 0.50595 0.58516
1qx2A 1ggwA 0.57347 0.57492
1snlA 1ahrA 0.51918 0.50337
1snlA 1clmA 0.48493 0.48493
1snlA 1oojA 0.46607 0.46607
1sw8A 1kcyA 0.45823 0.49878
1trfA 1wy9A 0.49777 0.47603
1vkuA 1sv0C 0.41653 0.44624
2a4jA 1wy9A 0.50831 0.52122
2b1uA 1scmB 0.50910 0.50910
2fceA 1b8rA 0.45075 0.42800
2fceA 1rtp1 0.46236 0.44473
2fj6A 2d58A 0.32088 0.38613
4icbA 1ahrA 0.59004 0.59004
4icbA 2bl0B 0.59678 0.59678
4icbA 1m45A 0.55334 0.55843
4icbA 2a4jA 0.60537 0.60537
1ucpA 1ak4C 0.43907 0.52235
1x3uA 1of9A 0.36142 0.38496
2gtgA 2o5hA 0.46513 0.58882
2igpA 1wkuA 0.61714 0.61714
2igpA 1tjtA 0.61787 0.61787
2o8xA 1m12A 0.40246 0.41253
1a3kA 1mvqA 0.51577 0.72725
1a3kA 1azdA 0.51434 0.72862
1a3kA 1apnA 0.51860 0.72391
1a3kA 1h9pA 0.51468 0.73168
1a3kA 1h9wA 0.51317 0.72629
1a3kA 1dglA 0.51767 0.73402
1a3kA 2d3pA 0.51842 0.72366
1a78A 2cwmA 0.50984 0.72152
1a78A 1wuvA 0.51204 0.72330
1a78A 1azdA 0.51312 0.72215
1a78A 1apnA 0.50727 0.71991
1a78A 2gdfA 0.51316 0.72570
1a78A 2d3pA 0.51054 0.72328
1a78A 1h9wA 0.50876 0.72692
1a78A 1dglA 0.51592 0.72802
1a78A 1h9pA 0.51096 0.72834
1ajkA 1u0aA 0.56902 0.94342
1ajkA 1cpmA 0.83039 0.94790
1ajkA 1cpnA 0.80700 0.92456
1ajkA 1byhA 0.56919 0.93909
1ajkA 1zm1A 0.74912 0.85870
1ajkA 1mveA 0.75033 0.86020
1ajkA 1umzA 0.53451 0.76297
1ajkA 1upsA 0.52441 0.81041
1ajkA 1bkzA 0.40612 0.49901
1ajkA 1o4zA 0.52994 0.85159
1ajkA 1g86A 0.40411 0.50458
1ajkA 1qtjA 0.49715 0.62456
1ajkA 2d6kA 0.39810 0.51989
1ajkA 1hdkA 0.39924 0.49744
1ajkA 1kjlA 0.39523 0.49016
1ajkA 1pvxA 0.35767 0.51842
1ajkA 1a3kA 0.39545 0.48594
1ajkA 1ganA 0.38481 0.47862
1ajkA 2a6yA 0.46290 0.69403
1ajkA 1hv0A 0.33983 0.52167
1ajkA 1gzwA 0.38946 0.47543
1ajkA 1m4wA 0.34272 0.51694
1ajkA 2ihsA 0.35475 0.53281
1ajkA 1ynaA 0.35871 0.51601
1ajkA 1oq1A 0.41771 0.66101
1ajkA 1bvvA 0.34156 0.52074
1ajkA 1q56A 0.46652 0.59218
1ajkA 1xndA 0.34596 0.50562
1ajkA 1enxA 0.30920 0.50971
1ajkA 1xncA 0.31272 0.52168
1ajkA 1hv1A 0.34064 0.52183
1ajkA 1c5hA 0.33987 0.52163
1ajkA 1a78A 0.38106 0.47644
1ajkA 1w6qA 0.38176 0.47049
1ajkA 1slaA 0.38794 0.47742
1ajkA 1pz7A 0.46311 0.58556
1ajkA 2fnjA 0.31430 0.53560
1ajkA 1w6mA 0.39072 0.47928
1ajkA 1te1B 0.34334 0.49736
1ajkA 1s2bA 0.52034 0.60471
1ajkA 1wldA 0.38687 0.47260
1ajkA 1is3A 0.38881 0.47336
1ajkA 1wlcA 0.38713 0.47271
1ajkA 2bvvA 0.34022 0.52221
1ajkA 1bcxA 0.33980 0.52105
1ajkA 2b45X 0.34448 0.52367
1ajkA 2dczA 0.34183 0.52305
1ajkA 2fbeA 0.31595 0.53057
1ajoA 1cpnA 0.64425 0.96345
1ajoA 1ajkA 0.75309 0.94698
1ajoA 1axkA 0.64461 0.64461
1ajoA 1zm1A 0.60356 0.88532
1ajoA 1mveA 0.60319 0.88687
1ajoA 1umzA 0.31726 0.77771
1ajoA 1o4zA 0.50009 0.85107
1ajoA 1hdkA 0.27399 0.49544
1ajoA 1kjlA 0.27374 0.48479
1ajoA 1a3kA 0.28118 0.48063
1ajoA 1bkzA 0.27404 0.49263
1ajoA 1za4A 0.35262 0.56321
1ajoA 1kdkA 0.33730 0.59227
1ajoA 2erfA 0.29334 0.58000
1ajoA 1z78A 0.33941 0.57014
1ajoA 2d97A 0.32242 0.50577
1ajoA 1pvxA 0.32643 0.52182
1ajoA 1c4rA 0.35255 0.60837
1ajoA 1b09A 0.34768 0.58304
1ajoA 2cwsA 0.37972 0.67061
1ajoA 1s2bA 0.40096 0.62067
1ajoA 2a5zA 0.36703 0.63744
1ajoA 1gzwA 0.27862 0.47254
1ajoA 1xndA 0.32751 0.51197
1ajoA 2h0bA 0.34517 0.58618
1ajoA 1ww4A 0.28349 0.52916
1ajoA 1w6mA 0.27563 0.47642
1ajoA 2a6vA 0.38829 0.38829
1ajoA 1j1tA 0.33693 0.64211
1ajoA 1gykA 0.33457 0.59457
1ajoA 1pz8A 0.34237 0.59061
1ajoA 1mvqA 0.58291 0.65691
1apnA 2fmdA 0.47348 0.93748
1apnA 1q8oA 0.47129 0.91694
1apnA 1n3oA 0.47240 0.91876
1apnA 1ciwA 0.46433 0.90249
1apnA 2bqpA 0.46577 0.90637
1apnA 1n47A 0.46688 0.91799
1apnA 1bzwA 0.46460 0.90294
1apnA 1lteA 0.46844 0.91200
1apnA 1dzqA 0.46260 0.91551
1apnA 1ax0A 0.46890 0.91212
1apnA 1uzyA 0.46936 0.90868
1apnA 1dbnA 0.46337 0.91533
1apnA 1gz9A 0.46896 0.91277
1apnA 1bjqA 0.49631 0.90349
1apnA 1fnyA 0.47222 0.90803
1apnA 1g9fA 0.47571 0.91466
1apnA 1sfyA 0.46958 0.91362
1apnA 1fyuA 0.46788 0.91102
1apnA 1g7yA 0.48859 0.90695
1apnA 1wblA 0.47019 0.90086
1apnA 1fatA 0.46689 0.89906
1apnA 1g8wA 0.46665 0.89917
1apnA 1avbA 0.45487 0.88893
1apnA 1fx5A 0.47046 0.90727
1apnA 1lemA 0.44388 0.71021
1apnA 1bqpA 0.44032 0.70577
1apnA 1wbfA 0.47011 0.90547
1apnA 1ofsA 0.44060 0.70707
1apnA 1gnzA 0.45984 0.88578
1apnA 1lofC 0.44251 0.70436
1apnA 1rinA 0.44049 0.70276
1apnA 1loaA 0.44374 0.70561
1apnA 1lgcA 0.44317 0.70817
1apnA 1gslA 0.46871 0.89306
1apnA 1hqlA 0.45931 0.88636
1apnA 1ioaA 0.45491 0.89199
1apnA 2b7yA 0.44164 0.70815
1apnA 1f9kA 0.46255 0.89256
1apnA 1lgbA 0.44230 0.70660
1apnA 1dhkB 0.43714 0.76085
1apnA 2a6vA 0.39521 0.72760
1apnA 2a6xA 0.39514 0.72938
1apnA 1viwB 0.44065 0.77468
1apnA 2a6zA 0.39656 0.72834
1apnA 2a6yA 0.40129 0.74191
1apnA 1s2bA 0.43455 0.57425
1apnA 1oq1A 0.35454 0.65385
1ax0A 1h9wA 0.46637 0.91451
1ax0A 1h9pA 0.46573 0.91492
1ax0A 2gdfA 0.45870 0.88073
1axkA 1uaiA 0.30849 0.38614
1axkA 1o4zA 0.36793 0.50037
1axkA 1gv9A 0.30974 0.30974
1azdA 2fmdA 0.48473 0.95505
1azdA 1q8oA 0.47840 0.93246
1azdA 1n47A 0.46740 0.91716
1azdA 1ciwA 0.47072 0.89267
1azdA 1bjqA 0.49877 0.91405
1azdA 1g7yA 0.49393 0.91709
1azdA 1ax0A 0.47003 0.92002
1azdA 1lteA 0.46972 0.91706
1azdA 2bqpA 0.47217 0.89701
1azdA 1uzyA 0.47117 0.91685
1azdA 1gz9A 0.47017 0.92098
1azdA 1bzwA 0.47083 0.89529
1azdA 1fnyA 0.47616 0.91347
1azdA 1sfyA 0.47074 0.92101
1azdA 1dbnA 0.46981 0.92088
1azdA 1fyuA 0.46919 0.92009
1azdA 1hqlA 0.46548 0.89818
1azdA 1fatA 0.47159 0.90455
1azdA 1g8wA 0.47157 0.90756
1azdA 1gnzA 0.46199 0.89411
1azdA 1g9fA 0.47309 0.90501
1azdA 1dzqA 0.46700 0.89974
1azdA 1fx5A 0.47306 0.89333
1azdA 1f9kA 0.46372 0.88609
1azdA 1ioaA 0.43732 0.87137
1azdA 1ofsA 0.42479 0.70287
1azdA 1lemA 0.42546 0.70327
1azdA 1lofC 0.42550 0.70041
1azdA 1rinA 0.42528 0.70009
1azdA 1bqpA 0.42502 0.70234
1azdA 1loaA 0.42649 0.70092
1azdA 1lgcA 0.42628 0.70458
1azdA 2b7yA 0.42400 0.70268
1azdA 1avbA 0.43519 0.85650
1azdA 1lgbA 0.42500 0.70224
1azdA 2a6vA 0.37964 0.69978
1azdA 1gv9A 0.38447 0.73411
1azdA 1dhkB 0.41809 0.73105
1azdA 2a6zA 0.38083 0.69915
1azdA 1viwB 0.42194 0.74427
1azdA 1oq1A 0.34192 0.63231
1b4rA 1nqjA 0.48694 0.55532
1bjqA 2d3pA 0.47050 0.86620
1bkzA 1h9wA 0.52523 0.76560
1bkzA 1mvqA 0.52778 0.76877
1byhA 1cpmA 0.72551 0.97464
1byhA 1ajoA 0.57098 0.97076
1byhA 1cpnA 0.72511 0.95524
1byhA 1axkA 0.72438 0.95064
1byhA 1s2bA 0.51442 0.61409
1bynA 1u9kA 0.38619 0.50844
1bz8A 1czyA 0.38902 0.38902
1bzwA 1h9wA 0.48026 0.91244
1bzwA 1h9pA 0.47974 0.91386
1bzwA 2d3pA 0.48076 0.91555
1bzwA 2gdfA 0.46935 0.89482
1c1fA 1dglA 0.51956 0.70389
1ciwA 1h9wA 0.48010 0.91189
1ciwA 1h9pA 0.47963 0.91347
1ciwA 1axkA 0.48055 0.62037
1cn1A 1lgcA 0.41488 0.68615
1cn1A 1rinA 0.41349 0.68115
1cn1A 1dhkB 0.41096 0.71772
1cn1A 1viwB 0.41569 0.73195
1cn1A 2fmdA 0.47727 0.93134
1cn1A 1n3oA 0.47192 0.91276
1cn1A 1q8oA 0.46993 0.91142
1cn1A 1bjqA 0.49258 0.89869
1cn1A 1n47A 0.46061 0.89869
1cn1A 1uzyA 0.46283 0.89566
1cn1A 1fatA 0.46246 0.88670
1cn1A 1g9fA 0.46651 0.88850
1cn1A 1bzwA 0.46353 0.88096
1cn1A 1fyuA 0.46136 0.89909
1cn1A 1fnyA 0.46765 0.89768
1cn1A 1sfyA 0.46327 0.90050
1cn1A 1ciwA 0.46319 0.88042
1cn1A 1lteA 0.46219 0.89904
1cn1A 1dbnA 0.46177 0.90148
1cn1A 1ax0A 0.46284 0.89939
1cn1A 1gnzA 0.45565 0.87889
1cn1A 1f9kA 0.45644 0.87349
1cn1A 1hqlA 0.45794 0.88073
1cn1A 1dzqA 0.45934 0.88297
1cn1A 1wblA 0.46083 0.88777
1cn1A 2bqpA 0.46267 0.87579
1cn1A 1wbfA 0.46069 0.89111
1cn1A 1ioaA 0.43079 0.85777
1cn1A 1fx5A 0.46676 0.87602
1cn1A 1avbA 0.42984 0.84421
1cn1A 1bqpA 0.41391 0.68379
1cn1A 1ofsA 0.41350 0.68529
1cn1A 1loaA 0.41571 0.68359
1cn1A 2b7yA 0.41528 0.68766
1cn1A 1lemA 0.41691 0.68746
1cn1A 1lofC 0.41465 0.68277
1cpmA 1ajoA 0.65967 0.97661
1cpmA 1macA 0.72475 0.97341
1cpmA 1f5jA 0.44574 0.54157
1cpnA 1oq1A 0.53020 0.53020
1cpnA 1g9fA 0.53543 0.66542
1cpnA 1xndA 0.42813 0.52562
1cpnA 2d97A 0.41867 0.51531
1cpnA 1te1B 0.42339 0.52394
1cpnA 2a6yA 0.57592 0.70161
1cpnA 1m4wA 0.44066 0.53809
1cx1A 1cpnA 0.41194 0.57613
1d2sA 1ajoA 0.39962 0.70441
1dglA 2fmdA 0.48616 0.95952
1dglA 1q8oA 0.47854 0.93366
1dglA 1fnyA 0.47591 0.91859
1dglA 1ax0A 0.46985 0.92372
1dglA 1ciwA 0.47199 0.89813
1dglA 1bjqA 0.49757 0.91626
1dglA 1sfyA 0.47046 0.92380
1dglA 1n47A 0.46625 0.92019
1dglA 1bzwA 0.47221 0.89884
1dglA 1gz9A 0.47002 0.92403
1dglA 1fyuA 0.46921 0.92098
1dglA 1uzyA 0.47084 0.91944
1dglA 1dbnA 0.46963 0.93136
1dglA 2bqpA 0.47154 0.89927
1dglA 1fatA 0.47113 0.90707
1dglA 1g8wA 0.47094 0.90960
1dglA 1dzqA 0.46714 0.90571
1dglA 1hqlA 0.46601 0.89932
1dglA 1gnzA 0.46270 0.89529
1dglA 1fx5A 0.47228 0.89683
1dglA 1f9kA 0.46392 0.89002
1dglA 1ioaA 0.44177 0.87452
1dglA 1avbA 0.43425 0.86226
1dglA 2b7yA 0.42684 0.70543
1dglA 1ofsA 0.42766 0.70559
1dglA 1lemA 0.42888 0.70672
1dglA 1loaA 0.42950 0.70373
1dglA 1bqpA 0.42734 0.70474
1dglA 1rinA 0.42781 0.70245
1dglA 1lofC 0.42861 0.70314
1dglA 1lgcA 0.42784 0.70571
1dglA 1lgbA 0.42705 0.70365
1dglA 1dhkB 0.41673 0.73732
1dglA 2a6vA 0.36971 0.69718
1dglA 2a6xA 0.37894 0.69797
1dglA 2a6yA 0.38460 0.71284
1dglA 1viwB 0.42044 0.74630
1dglA 2a6zA 0.38067 0.70187
1dglA 1gv9A 0.38312 0.72795
1dglA 1oq1A 0.34360 0.63174
1dhkB 1s2bA 0.53648 0.62473
1dykA 1ajoA 0.22020 0.36519
1dypA 1mveA 0.53138 0.70812
1dypA 1axkA 0.51696 0.70450
1dypA 1cpnA 0.51576 0.67703
1dypA 1cpmA 0.51345 0.68322
1dypA 1ajoA 0.40400 0.67908
1dypA 1ajkA 0.41106 0.67380
1dzbA 1qgc4 0.47065 0.47065
1dzbA 1h8nA 0.81814 0.94221
1dzbA 2gjjA 0.86115 0.94689
1dzbA 1x9qA 0.82830 0.91171
1edyA 1of3A 0.43753 0.52896
1ej8A 1f6lL 0.44667 0.44441
1f3rB 1qgc4 0.39447 0.39447
1f3rB 1h8oA 0.65739 0.73780
1f3rB 1h8nA 0.66247 0.74900
1f3rB 2gjjA 0.69441 0.76846
1f3rB 1jp5A 0.67897 0.77394
1f3rB 1x9qA 0.66434 0.73933
1f5fA 1ajoA 0.39910 0.70249
1fatA 1h9wA 0.48103 0.92391
1fatA 1h9pA 0.48072 0.92362
1fatA 2gdfA 0.47369 0.89459
1fatA 1ajkA 0.39080 0.61043
1fnyA 1h9pA 0.48222 0.92802
1fnyA 1h9wA 0.48244 0.92759
1fnyA 2gdfA 0.47437 0.89890
1fstA 1gff2 0.44711 0.44711
1fyuA 1h9pA 0.46467 0.91517
1fyuA 1h9wA 0.46529 0.91472
1fyuA 2gdfA 0.45743 0.87892
1g7yA 1dglA 0.46692 0.87173
1g7yA 1mvqA 0.46770 0.86795
1g7yA 2d3pA 0.46655 0.86631
1g7yA 1h9wA 0.46725 0.86742
1g7yA 1h9pA 0.46712 0.86864
1g7yA 2gdfA 0.45925 0.83615
1g7yA 1cn1A 0.46130 0.85245
1g86A 1h9wA 0.49848 0.74198
1g86A 1ajoA 0.39077 0.70314
1g86A 1mvqA 0.49733 0.74009
1g86A 1azdA 0.49810 0.74171
1g8wA 1h9wA 0.47886 0.92240
1g8wA 1h9pA 0.47863 0.92253
1g8wA 2gdfA 0.47163 0.89150
1g8wA 1cn1A 0.47002 0.90253
1g8wA 1y43B 0.40376 0.49514
1g9fA 1mvqA 0.46576 0.89340
1g9fA 1dglA 0.46562 0.89386
1g9fA 2d3pA 0.46479 0.88852
1g9fA 1h9wA 0.46531 0.88911
1g9fA 2gdfA 0.46278 0.87735
1g9fA 2cnaA 0.46165 0.87944
1ganA 2cwmA 0.51360 0.73178
1ganA 1apnA 0.51025 0.72358
1ganA 1wuvA 0.51618 0.72738
1ganA 1mvqA 0.51689 0.72490
1ganA 2gdfA 0.51630 0.72884
1ganA 1h9wA 0.51370 0.72644
1ganA 2mcmA 0.37546 0.37546
1gbgA 1cpmA 0.72706 0.97925
1gbgA 1ajoA 0.57499 0.97313
1gbgA 1cpnA 0.72535 0.95503
1gbgA 1ajkA 0.56516 0.93308
1gbgA 1axkA 0.72549 0.95598
1gmiA 1v27A 0.63945 0.71575
1gmiA 1bynA 0.68556 0.76149
1gnzA 1h9pA 0.46343 0.89705
1gnzA 2gdfA 0.45602 0.86665
1gslA 1h9pA 0.46338 0.88771
1gslA 1dglA 0.46558 0.89168
1gslA 1h9wA 0.46363 0.88689
1gslA 1azdA 0.46544 0.88957
1gslA 1mvqA 0.46543 0.88727
1gslA 2d3pA 0.46232 0.88481
1gslA 2cnaA 0.46017 0.87899
1gslA 2gdfA 0.45695 0.85858
1gslA 1cn1A 0.45842 0.87606
1guiA 1apnA 0.42654 0.64747
1gv9A 1h9wA 0.40392 0.76830
1gv9A 1zm1A 0.53169 0.66549
1gv9A 1cpmA 0.52438 0.64849
1gv9A 1apnA 0.40309 0.76567
1gv9A 1ajoA 0.32222 0.64551
1gykA 1h6yA 0.42857 0.51404
1gz9A 2cwmA 0.46504 0.91356
1gz9A 1h9pA 0.46558 0.91561
1gz9A 1h9wA 0.46594 0.91496
1gz9A 2gdfA 0.45855 0.88038
1gz9A 1cn1A 0.45838 0.89265
1gzwA 2cwmA 0.51172 0.71814
1gzwA 1mvqA 0.51496 0.71717
1gzwA 1h9wA 0.51385 0.71824
1h4gA 1y43B 0.36182 0.47505
1h4hA 1y43B 0.36221 0.47438
1h8oA 1dzbA 0.80410 0.93990
1h8oA 2ghwB 0.82337 0.92838
1h9pA 2fmdA 0.49412 0.97416
1h9pA 1q8oA 0.48443 0.94520
1h9pA 1dbnA 0.47657 0.94076
1h9pA 1n47A 0.47238 0.93311
1h9pA 1bjqA 0.50648 0.93028
1h9pA 1dzqA 0.47361 0.91876
1h9pA 1hqlA 0.47253 0.91299
1h9pA 2bqpA 0.47793 0.91073
1h9pA 1g9fA 0.48073 0.92324
1h9pA 1f9kA 0.46966 0.90179
1h9pA 1fx5A 0.47795 0.90698
1h9pA 1ioaA 0.44736 0.88675
1h9pA 2b7yA 0.43206 0.71436
1h9pA 1avbA 0.44052 0.87280
1h9pA 1ofsA 0.43255 0.71419
1h9pA 1bqpA 0.43200 0.71267
1h9pA 1lemA 0.43328 0.71411
1h9pA 1loaA 0.43486 0.71247
1h9pA 1rinA 0.43228 0.70995
1h9pA 1lofC 0.43377 0.71154
1h9pA 1lgcA 0.43422 0.71564
1h9pA 1lgbA 0.43246 0.71264
1h9pA 2a6vA 0.38077 0.70605
1h9pA 2a6zA 0.38444 0.70722
1h9pA 2a6xA 0.37342 0.70498
1h9pA 2a6yA 0.38867 0.71873
1h9pA 1dhkB 0.42315 0.74274
1h9pA 1viwB 0.42724 0.75543
1h9pA 1gv9A 0.38849 0.73868
1h9wA 2fmdA 0.49533 0.97739
1h9wA 1q8oA 0.48660 0.94976
1h9wA 1n47A 0.47448 0.93652
1h9wA 1bjqA 0.50892 0.93461
1h9wA 1dbnA 0.47878 0.94434
1h9wA 1hqlA 0.47495 0.91614
1h9wA 1dzqA 0.47600 0.92336
1h9wA 1gnzA 0.47134 0.91100
1h9wA 1fx5A 0.48010 0.91139
1h9wA 1f9kA 0.47216 0.90502
1h9wA 1ioaA 0.44916 0.89079
1h9wA 2b7yA 0.43468 0.71835
1h9wA 1ofsA 0.43512 0.71814
1h9wA 1bqpA 0.43455 0.71674
1h9wA 1rinA 0.43493 0.71396
1h9wA 1avbA 0.44237 0.87700
1h9wA 1loaA 0.43757 0.71646
1h9wA 1lemA 0.43574 0.71810
1h9wA 1lofC 0.43638 0.71557
1h9wA 1lgcA 0.43694 0.71986
1h9wA 1lgbA 0.43519 0.71661
1h9wA 2a6xA 0.37120 0.71086
1h9wA 1dhkB 0.42504 0.74657
1h9wA 2a6vA 0.38479 0.70995
1h9wA 2a6zA 0.38576 0.71133
1h9wA 2a6yA 0.38996 0.72217
1h9wA 1viwB 0.42889 0.75935
1h9wA 1oq1A 0.34852 0.64295
